platform,artist,project,songTitle,bpm,key,genre,tags,locationCreated,originalReleaseDate,recordLabel,publisher,license,image,losslessAudio,duration,tokenID
Catalog,RAMSAY,RAMSAY,Mama Don't Worry!,116,NaN,NaN,"['pop', 'hip hop', 'romantic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeic2lsiye3he2krtf256sfb6j5meqnjqyo6bilcr4r4uevnzxqg5uu,ipfs://bafybeic5ubvwjiyspjc6vnyjqflnm4mqgua62ikz2vrvjanewtheuyxx6y,180.062,106
Catalog,malfnktion,malfnktion,violet22,121,NaN,NaN,"['house', 'electronic', 'energetic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeihopukmfy2c6xr4hrfs747wqneljh3oudutsp4smtqtfwd7k4jsfy,ipfs://bafybeidiimes3vasl7bkgsks5bcdfjeetqkffiirmhhrhvicnzbaiggj4m,288.052,107
Catalog,AbJo,AbJo,orunmila.,nan,NaN,NaN,"['electronic', 'neutral', 'relaxed']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeiddheuzaw6cdvpsye73u7w5oyrlnwafp2c3bycwvtka27scocpgqe,ipfs://bafybeibfpv53a3glzyktsckd5wnjebv2rvuxlhda2m3yq36ceil2ch5s2q,159.269,108
Catalog,Pauline Herr ｡･:*:･ﾟ☆,Pauline Herr ｡･:*:･ﾟ☆,Long Gone,nan,NaN,NaN,"['pop', 'romantic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeihxjlljmeejnu6tkdqizauby5367pr2is5i2sayxznsdvry3mpmii,ipfs://bafybeibroozzhzyc6tab73xzlrbcvbyy63tmusb3lg7ogqync4tqzhqoca,220.421,110
Catalog,Pozibelle,Pozibelle,Walk On By,82,NaN,NaN,"['electronic', 'drum & bass']",NaN,NaN,NaN,NaN,NaN,ipfs://QmUJwzcnPrfW6gKmpGGw5nZE5JcMA4wrapip3fpvvu7syL,ipfs://QmcVVnCMUmNCpzKajBduoMNkhyYE7dDx6dmE74DxAB3rY9,204.722,111
Catalog,IAMNOBODI,IAMNOBODI,forever,126,NaN,NaN,"['hip hop', 'quirky', 'powerful']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeihhr3vgqxwzs7qrjwjlemfe4ybathnwl4ofvp3f5cqrwp4cuuakte,ipfs://bafybeicgkgrd3tnnx6ygztf765xg3afym3sqlm47koqyu457apnfnksxlq,181.968,112
Catalog,Studio Nouveau,Studio Nouveau,Simulation: 3-1,140,NaN,NaN,['electronic'],NaN,NaN,NaN,NaN,NaN,ipfs://QmSFKwWmSHseppH8RdVvUG9ZmsoeLQcrcxtbXSjTYM2jBc,ipfs://QmSWNQdHmNQYbsnTydt7ZtYT8QojnMv6MufoJmvpcNFe13,391.34,113
Catalog,Dutchyyy,Dutchyyy,Greenscape_Probe (EMERGENCY!),160,NaN,NaN,['electronic'],NaN,NaN,NaN,NaN,NaN,ipfs://QmT6bjKZZinygRgDtLGKnk9CFbs5uzPX6suPCCZBWJoSGJ,ipfs://QmWp4PqckqaBdQHNVNaTf8VXN7ZyuJBcHFjkiV9qGiXevm,320.366,114
Catalog,Pauline Herr ｡･:*:･ﾟ☆,Pauline Herr ｡･:*:･ﾟ☆,Heartless,136,NaN,NaN,"['pop', 'relaxed', 'romantic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeiddneq3j3d456qw4otjfbgat5bzbfxa7mzmit374w256sohrtczvi,ipfs://bafybeib7syusg6ryuhqjslh226fqoc5incj2krs7xaizg5mfnssujia4ey,197.642,115
Catalog,HOUNDTRACK,HOUNDTRACK,Havoc,162,NaN,NaN,"['electronic', 'powerful']",NaN,NaN,NaN,NaN,NaN,ipfs://QmSh6vg7QJk9Bk7GG8pfj95eQxebsJXDko39g42Gc61Kio,ipfs://QmQDUavY8uSX6roCV5xe3wXibJafbhtAQWrWSuR6nb2NJo,169.691,116
